mes,site,Medio_de_pago,Incoming_amt,Incoming_qty,Status,BUYER_TYPE,FREQUENCY_MP,LIFECYCLE,SPENDER_TYPE
April,MLM,digital_currency,74.05,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,high_spender
May,MLM,digital_currency,14.29,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,high_spender
April,MLM,debit card,197.73,1,Approved,Repeat Buyer,NEW,,
April,MLM,debit card,25.4,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
May,MLM,tc mp,26.82,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
NULL,MLM,debit card,45.49,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
April,MLM,debit card,15.98,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
May,MLM,debit card,31.25,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,high_spender
NULL,MLM,account_money,130.77,1,Approved,Repeat Buyer,CORE,active_buyer_mid,mid_spender
April,MLM,debit card,10.78,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
April,MLM,debit card,52.2,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
May,MLM,ticket,52.19,1,Cancelled,Repeat Buyer,NEW,active_buyer_mid,ultra_high_spender
May,MLM,debit card,12.93,1,Approved,Repeat Buyer,CORE,active_buyer_mid,mid_high_spender
April,MLM,credit card,53.62,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,high_spender
April,MLM,digital_currency,51.61,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,debit card,91.58,1,Approved,New Buyer,NEW,onboarding,mid_low_spender
April,MLM,debit card,38.8,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
April,MLM,credit card,76.97,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,credit card,366.87,1,Rej. Blacklist,Repeat Buyer,NEW,active_buyer_mid,high_spender
April,MLM,credit card,16.5,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_low_spender
May,MLM,credit card,84.49,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
May,MLM,credit card,83.83,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,ultra_high_spender
May,MLM,debit card,27.78,1,Approved,Repeat Buyer,NEW,active_buyer_mid,high_spender
April,MLM,debit card,10.88,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
May,MLM,credit card,36.46,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,ticket,17.8,1,Cancelled,Repeat Buyer,,active_buyer_low,low_spender
April,MLM,debit card,18.47,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,digital_currency,16.19,1,Approved,Repeat Buyer,CORE,active_buyer_high,mid_high_spender
NULL,MLM,tc mp,16.7,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
May,MLM,tc mp,27.01,2,Approved,Repeat Buyer,CASUAL,active_buyer_high,high_spender
April,MLM,account_money,12.76,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
April,MLM,digital_currency,8.31,1,Approved,Repeat Buyer,CORE,active_buyer_high,mid_spender
May,MLM,debit card,11.95,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,debit card,17.34,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_low_spender
May,MLM,debit card,47.82,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
