mes,site,Medio_de_pago,Incoming_amt,Incoming_qty,Status,BUYER_TYPE,FREQUENCY_MP,LIFECYCLE,SPENDER_TYPE
May,MLM,credit card,11.22,1,Insufficient Amount,New Buyer,,onboarding,high_spender
May,MLM,ticket,15.34,1,Approved,New Buyer,NEW,onboarding,mid_low_spender
May,MLM,tc mp,16.62,1,Approved,Repeat Buyer,CORE,active_buyer_high,ultra_high_spender
May,MLM,debit card,50.87,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,credit card,101.11,1,Rej. by Risk Bank - App. by PF,Repeat Buyer,,active_buyer_mid,mid_high_spender
April,MLM,debit card,17.03,1,Approved,Repeat Buyer,CORE,active_buyer_low,low_spender
April,MLM,ticket,16.05,1,Cancelled,Repeat Buyer,,active_buyer_low,low_spender
May,MLM,debit card,13.76,1,Approved,New Buyer,NEW,onboarding,mid_low_spender
NULL,MLM,bank transfer,20.76,1,Cancelled,Repeat Buyer,POWER USER,active_buyer_mid,mid_low_spender
May,MLM,account_money,17.37,1,Approved,Repeat Buyer,CASUAL,active_buyer_mid,mid_high_spender
May,MLM,account_money,11.56,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,debit card,77.39,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_high_spender
May,MLM,debit card,28.65,1,Rej. by Bank Other,New Buyer,NEW,onboarding,ultra_high_spender
May,MLM,digital_currency,155.06,1,Approved,Repeat Buyer,CORE,active_buyer_high,ultra_high_spender
April,MLM,ticket,18.18,1,Cancelled,New Buyer,,onboarding,ultra_high_spender
NULL,MLM,credit card,109.75,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
April,MLM,credit card,47.79,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,high_spender
April,MLM,credit card,10.46,1,Approved,Repeat Buyer,CORE,active_buyer_high,mid_high_spender
May,MLM,tc mp,15.34,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
NULL,MLM,digital_currency,23.42,1,Approved,Repeat Buyer,POWER USER,active_buyer_mid,mid_spender
NULL,MLM,account_money,24.2,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,debit card,54.37,1,Approved,New Buyer,NEW,onboarding,ultra_high_spender
May,MLM,account_money,15.78,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,high_spender
NULL,MLM,debit card,29.61,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_low_spender
May,MLM,account_money,9.75,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
April,MLM,debit card,107.29,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_spender
May,MLM,credit card,83.54,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
May,MLM,debit card,15.62,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
April,MLM,digital_currency,16.97,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
May,MLM,debit card,28.19,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_high_spender
May,MLM,debit card,23.43,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,mid_high_spender
May,MLM,tc mp,33.1,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,debit card,16.39,1,Approved,New Buyer,NEW,onboarding,low_spender
May,MLM,credit card,35.65,1,Rej. by Risk Bank - App. by PF,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,tc mp,17.42,2,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,credit card,19.71,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_high_spender
May,MLM,digital_currency,14.27,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
May,MLM,debit card,35.52,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,credit card,173.3,1,Insufficient Amount,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,debit card,18.52,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,debit card,20.32,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,account_money,508.16,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,ultra_high_spender
May,MLM,credit card,18.03,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,digital_currency,23.82,1,Approved,Repeat Buyer,CORE,active_buyer_mid,mid_spender
April,MLM,credit card,45.99,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
April,MLM,digital_currency,16.16,1,Approved,Repeat Buyer,CORE,active_buyer_mid,mid_low_spender
April,MLM,tc mp,34.45,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,mid_high_spender
NULL,MLM,digital_currency,25.13,1,Approved,Repeat Buyer,POWER USER,active_buyer_mid,mid_high_spender
May,MLM,debit card,19.8,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_low_spender
May,MLM,digital_currency,9.83,1,Approved,Repeat Buyer,CORE,active_buyer_high,mid_high_spender
April,MLM,account_money,7.63,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,account_money,40.62,1,Approved,Repeat Buyer,CORE,active_buyer_high,ultra_high_spender
May,MLM,credit card,10.15,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
NULL,MLM,digital_currency,56.12,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
May,MLM,debit card,56.03,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,credit card,34.02,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_high_spender
April,MLM,debit card,22.5,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,credit card,115.41,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
NULL,MLM,credit card,29.16,1,Approved,Repeat Buyer,CORE,active_buyer_high,mid_high_spender
May,MLM,account_money,70.98,1,Approved,Repeat Buyer,CORE,active_buyer_mid,mid_spender
April,MLM,credit card,17.89,2,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,credit card,6.83,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_spender
May,MLM,credit card,1.26,1,Rej. by Risk Bank - App. by PF,Repeat Buyer,POWER USER,active_buyer_high,mid_high_spender
April,MLM,bank transfer,93.97,1,Approved,New Buyer,NEW,onboarding,mid_low_spender
NULL,MLM,tc mp,29,1,Approved,Repeat Buyer,CORE,active_buyer_mid,mid_spender
May,MLM,bank transfer,21.54,1,Approved,Repeat Buyer,NEW,onboarding,mid_spender
May,MLM,tc mp,23.84,1,Approved,Repeat Buyer,CORE,active_buyer_high,mid_high_spender
April,MLM,tc mp,545.92,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
April,MLM,debit card,52.32,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,account_money,23.98,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_spender
May,MLM,tc mp,27.59,2,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
May,MLM,debit card,34.29,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,tc mp,139.2,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,bank transfer,16.19,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,high_spender
May,MLM,credit card,16.34,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_high_spender
May,MLM,debit card,16.59,1,Rej. by Risk Bank - App. by PF,New Buyer,NEW,onboarding,low_spender
April,MLM,credit card,40.87,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_spender
May,MLM,account_money,01.04,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,credit card,91.52,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
April,MLM,credit card,97.35,2,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
NULL,MLM,digital_currency,15.69,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_spender
May,MLM,credit card,21.85,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
April,MLM,debit card,29.87,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,mid_high_spender
May,MLM,debit card,25.82,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
April,MLM,tc mp,30.59,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
April,MLM,debit card,53.11,1,Rej. by User Error,New Buyer,NEW,onboarding,ultra_high_spender
April,MLM,digital_currency,143.02,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
May,MLM,digital_currency,15.79,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
April,MLM,account_money,93.21,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,ultra_high_spender
April,MLM,digital_currency,30.64,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
May,MLM,credit card,18.4,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,account_money,10.23,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,credit card,21.06,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
May,MLM,debit card,83.01,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,debit card,19.98,1,Approved,Repeat Buyer,NEW,onboarding,high_spender
NULL,MLM,debit card,377.08,1,Approved,Repeat Buyer,NEW,active_buyer_mid,ultra_high_spender
May,MLM,account_money,30.67,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,credit card,23.28,1,Approved,New Buyer,NEW,onboarding,low_spender
May,MLM,debit card,38.38,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,mid_high_spender
May,MLM,account_money,39.76,1,Approved,Repeat Buyer,POWER USER,active_buyer_mid,mid_spender
April,MLM,debit card,12.07,1,Approved,Repeat Buyer,CASUAL,active_buyer_mid,mid_high_spender
April,MLM,ticket,10.72,1,Cancelled,Repeat Buyer,NEW,active_buyer_high,high_spender
NULL,MLM,credit card,39.91,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,account_money,8.6,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,mid_high_spender
April,MLM,digital_currency,20.02,1,Approved,Repeat Buyer,POWER USER,active_buyer_mid,mid_low_spender
April,MLM,digital_currency,62.2,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,mid_high_spender
April,MLM,debit card,17.68,1,Rej. by User Error,New Buyer,,active_buyer_low,low_spender
NULL,MLM,digital_currency,3.1,1,Cancelled,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,debit card,27.65,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_spender
May,MLM,credit card,65.89,2,Approved,Repeat Buyer,NEW,active_buyer_low,mid_spender
April,MLM,debit card,15.15,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_high_spender
May,MLM,debit card,63.27,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
April,MLM,debit card,82.13,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,high_spender
May,MLM,credit card,77.59,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,high_spender
May,MLM,atm,37.83,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_spender
April,MLM,ticket,65.8,1,Cancelled,Repeat Buyer,NEW,active_buyer_low,ultra_high_spender
NULL,MLM,account_money,15.68,1,Approved,Repeat Buyer,CORE,active_buyer_high,ultra_high_spender
May,MLM,debit card,13.26,1,Approved,Repeat Buyer,NEW,onboarding,mid_low_spender
April,MLM,debit card,39.52,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
NULL,MLM,digital_currency,20.69,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,digital_currency,169.01,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
May,MLM,credit card,206.9,1,Rej. by User Error,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
May,MLM,debit card,40.04,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
April,MLM,debit card,15.56,1,Rej. by User Error,New Buyer,NEW,onboarding,mid_spender
May,MLM,ticket,26.93,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
May,MLM,tc mp,18.18,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
May,MLM,debit card,24.48,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,ultra_high_spender
April,MLM,debit card,21.83,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
April,MLM,debit card,63.27,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,ultra_high_spender
May,MLM,debit card,38.38,1,Approved,Repeat Buyer,CORE,active_buyer_high,mid_high_spender
April,MLM,account_money,45.96,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,credit card,19.46,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
NULL,MLM,debit card,10.06,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
April,MLM,credit card,10.81,1,Approved,Repeat Buyer,CORE,active_buyer_high,ultra_high_spender
April,MLM,debit card,54.01,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,credit card,11.18,1,Approved,New Buyer,NEW,active_buyer_low,low_spender
NULL,MLM,debit card,50.17,1,Approved,Repeat Buyer,CASUAL,active_buyer_mid,mid_spender
NULL,MLM,debit card,85.49,1,Approved,Repeat Buyer,POWER USER,active_buyer_mid,mid_spender
May,MLM,debit card,365.17,1,Insufficient Amount,Repeat Buyer,CASUAL,active_buyer_mid,high_spender
May,MLM,debit card,19.05,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,digital_currency,71.78,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,credit card,19.37,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,ticket,250.26,1,Cancelled,Repeat Buyer,CORE,active_buyer_mid,high_spender
NULL,MLM,tc mp,33.45,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,credit card,19.52,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
NULL,MLM,debit card,19.09,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
April,MLM,tc mp,66.01,2,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,credit card,34.45,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_low_spender
April,MLM,digital_currency,19.31,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
NULL,MLM,credit card,62.91,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,credit card,17.01,1,Approved,Repeat Buyer,POWER USER,active_buyer_mid,high_spender
May,MLM,debit card,26.36,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_spender
April,MLM,tc mp,97.22,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,high_spender
May,MLM,credit card,39.51,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,credit card,20.67,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
May,MLM,debit card,52.82,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_low_spender
April,MLM,ticket,28.87,1,Cancelled,Repeat Buyer,CASUAL,active_buyer_high,high_spender
April,MLM,tc mp,40.92,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
NULL,MLM,debit card,23.79,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_spender
April,MLM,debit card,18.49,1,Approved,Repeat Buyer,NEW,active_buyer_low,low_spender
April,MLM,ticket,19.14,1,Cancelled,New Buyer,NEW,churned,non_spender
April,MLM,tc mp,13.43,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,mid_high_spender
April,MLM,debit card,28.96,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,digital_currency,23.51,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,debit card,9.92,1,Approved,Repeat Buyer,NEW,onboarding,low_spender
April,MLM,debit card,30.64,1,Approved,Repeat Buyer,CORE,active_buyer_mid,mid_spender
May,MLM,debit card,200.3,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
April,MLM,debit card,12.62,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_high_spender
April,MLM,tc mp,31.48,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
May,MLM,credit card,15.03,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,tc mp,48.31,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,debit card,18.38,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
April,MLM,digital_currency,26.71,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
May,MLM,debit card,20.92,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,mid_high_spender
April,MLM,debit card,28.87,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,ultra_high_spender
NULL,MLM,bank transfer,31.15,1,Cancelled,New Buyer,NEW,active_buyer_low,low_spender
May,MLM,tc mp,20.23,1,Approved,Repeat Buyer,CORE,active_buyer_mid,mid_low_spender
April,MLM,credit card,19.45,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,mid_high_spender
May,MLM,bank transfer,18.55,1,Approved,New Buyer,NEW,active_buyer_low,low_spender
May,MLM,digital_currency,19.41,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
April,MLM,credit card,19.84,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_spender
April,MLM,digital_currency,22.49,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,credit card,28.36,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
May,MLM,account_money,3.68,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
May,MLM,tc mp,46.22,1,Approved,Repeat Buyer,POWER USER,active_buyer_mid,mid_high_spender
NULL,MLM,credit card,82.6,2,Rej. by PF,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,debit card,97.05,1,Approved,Repeat Buyer,CORE,active_buyer_high,ultra_high_spender
NULL,MLM,debit card,11.79,1,Approved,Repeat Buyer,NEW,active_buyer_low,low_spender
May,MLM,digital_currency,74.2,1,Approved,New Buyer,CORE,churned,non_spender
May,MLM,debit card,37.26,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_spender
May,MLM,credit card,56.08,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,ticket,15.66,1,Cancelled,Repeat Buyer,NEW,active_buyer_mid,mid_low_spender
May,MLM,debit card,47.37,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,mid_high_spender
May,MLM,credit card,81.56,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,debit card,9.9,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
May,MLM,debit card,15.05,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
NULL,MLM,debit card,137.01,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_high_spender
May,MLM,credit card,16.77,1,Approved,Repeat Buyer,CORE,active_buyer_high,ultra_high_spender
May,MLM,debit card,17.41,1,Approved,Repeat Buyer,CORE,active_buyer_high,ultra_high_spender
April,MLM,digital_currency,216.07,1,Approved,Repeat Buyer,CORE,active_buyer_mid,mid_high_spender
May,MLM,digital_currency,59.45,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,debit card,28.46,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_spender
May,MLM,account_money,18.48,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,credit card,587.62,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,bank transfer,13.66,1,Cancelled,New Buyer,CASUAL,onboarding,low_spender
May,MLM,debit card,45.52,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
May,MLM,account_money,54.8,1,Approved,Repeat Buyer,POWER USER,active_buyer_low,mid_spender
April,MLM,debit card,48.96,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,high_spender
May,MLM,debit card,25.83,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_spender
April,MLM,ticket,18.54,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
April,MLM,debit card,87.72,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
May,MLM,credit card,25.95,2,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
April,MLM,debit card,23.81,1,Approved,Repeat Buyer,CORE,active_buyer_high,mid_high_spender
May,MLM,debit card,27.87,1,Approved,Repeat Buyer,CASUAL,active_buyer_low,mid_low_spender
May,MLM,bank transfer,17.89,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_spender
May,MLM,ticket,19.77,1,Cancelled,New Buyer,,onboarding,mid_spender
May,MLM,debit card,62.08,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
NULL,MLM,credit card,108.71,2,Approved,Repeat Buyer,NEW,active_buyer_low,mid_spender
May,MLM,account_money,27.94,1,Approved,Repeat Buyer,CASUAL,active_buyer_low,mid_spender
April,MLM,credit card,43.48,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
May,MLM,debit card,47.97,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
May,MLM,tc mp,19.31,2,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
NULL,MLM,credit card,276.33,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
April,MLM,debit card,16.37,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_high_spender
May,MLM,digital_currency,18,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
April,MLM,bank transfer,20.62,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_spender
May,MLM,debit card,48.23,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,digital_currency,30.1,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
May,MLM,credit card,28.25,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
May,MLM,credit card,19.74,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
April,MLM,credit card,1251.9,2,Approved,Repeat Buyer,NEW,active_buyer_mid,high_spender
NULL,MLM,debit card,16.16,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
May,MLM,credit card,38.72,1,Approved,Repeat Buyer,NEW,active_buyer_mid,high_spender
April,MLM,debit card,39.9,1,Approved,Repeat Buyer,NEW,onboarding,ultra_high_spender
April,MLM,credit card,45.3,1,Approved,Repeat Buyer,CORE,active_buyer_high,ultra_high_spender
NULL,MLM,credit card,9.74,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
April,MLM,debit card,32.95,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,debit card,18.74,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_spender
April,MLM,credit card,12.96,1,Approved,New Buyer,NEW,onboarding,low_spender
May,MLM,account_money,29.75,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
May,MLM,digital_currency,35.89,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,ticket,15.94,1,Cancelled,Repeat Buyer,,onboarding,mid_spender
May,MLM,debit card,392.08,1,Approved,New Buyer,NEW,onboarding,ultra_high_spender
April,MLM,credit card,22.82,2,Rej. Blacklist,Repeat Buyer,NEW,active_buyer_low,mid_spender
May,MLM,credit card,22.51,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
April,MLM,credit card,26.42,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
April,MLM,debit card,21.07,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_spender
April,MLM,debit card,30.38,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,credit card,21.25,1,Approved,Repeat Buyer,NEW,active_buyer_mid,high_spender
May,MLM,debit card,3.54,1,Insufficient Amount,Repeat Buyer,CORE,active_buyer_high,high_spender
April,MLM,digital_currency,24.98,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
May,MLM,account_money,68.05,1,Approved,Repeat Buyer,CORE,active_buyer_high,high_spender
May,MLM,account_money,0.92,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
May,MLM,credit card,87.05,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
May,MLM,credit card,11.02,1,Approved,Repeat Buyer,NEW,onboarding,mid_high_spender
NULL,MLM,credit card,79.29,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,ticket,13.61,1,Cancelled,Repeat Buyer,,active_buyer_low,low_spender
NULL,MLM,account_money,38.33,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
NULL,MLM,credit card,33.32,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,digital_currency,33.47,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,mid_high_spender
May,MLM,debit card,17.03,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,debit card,40.8,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
NULL,MLM,credit card,59.64,1,Approved,Repeat Buyer,NEW,active_buyer_low,mid_high_spender
May,MLM,credit card,134.39,2,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,credit card,44.8,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,debit card,46.69,1,Rej. by User Error,New Buyer,NEW,active_buyer_low,mid_low_spender
April,MLM,debit card,167.67,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
NULL,MLM,tc mp,20.79,2,Approved,Repeat Buyer,CORE,active_buyer_high,mid_high_spender
May,MLM,ticket,21.16,1,Approved,Repeat Buyer,NEW,active_buyer_low,low_spender
May,MLM,debit card,22.29,1,Approved,Repeat Buyer,NEW,active_buyer_mid,mid_spender
May,MLM,credit card,17.5,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
May,MLM,debit card,14.71,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
April,MLM,credit card,19.75,1,Approved,New Buyer,NEW,onboarding,low_spender
April,MLM,credit card,44.97,1,Approved,Repeat Buyer,CORE,active_buyer_high,ultra_high_spender
NULL,MLM,ticket,18.73,1,Pending,Repeat Buyer,,active_buyer_low,mid_high_spender
May,MLM,digital_currency,22.25,1,Approved,Repeat Buyer,NEW,active_buyer_high,high_spender
April,MLM,tc mp,31.48,1,Approved,Repeat Buyer,CASUAL,active_buyer_high,high_spender
April,MLM,credit card,42.01,1,Approved,Repeat Buyer,NEW,active_buyer_high,ultra_high_spender
May,MLM,debit card,70.14,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,ultra_high_spender
April,MLM,debit card,17.99,1,Approved,Repeat Buyer,CORE,active_buyer_low,mid_low_spender
April,MLM,debit card,74.53,1,Approved,Repeat Buyer,CORE,active_buyer_high,ultra_high_spender
April,MLM,debit card,39.32,1,Approved,New Buyer,NEW,onboarding,mid_low_spender
May,MLM,account_money,23.18,1,Approved,Repeat Buyer,POWER USER,active_buyer_high,high_spender
April,MLM,ticket,29.88,1,Approved,Repeat Buyer,NEW,active_buyer_high,mid_high_spender
