mes,site,Medio_de_pago,Incoming_amt,Incoming_qty,Status
Mayo,MLA,account_money,3494.25,219,Rej. by User Error
Mayo,MLA,debit card,3502113.22,21325,Rej. by PF
Abril,MLA,debit card,12203306.29,121246,Insufficient Amount
fuera_de_rango,MLA,prepaid_card,877189.48,15904,Approved
fuera_de_rango,MLA,ticket,83.17,5,Rej. by User Error
Mayo,MLA,prepaid_card,4903816.67,37604,Insufficient Amount
fuera_de_rango,MLA,credit card,45873828.33,484643,Approved
fuera_de_rango,MLA,credit card,2871.31,14,Rej. by Risk Bank - Rej. by PF
Abril,MLA,credit card,573869957.68,6117896,Approved
fuera_de_rango,MLA,credit card,386354.15,2251,Cancelled
Mayo,MLA,prepaid_card,964905.5,6369,Rej. by Risk Bank - App. by PF
fuera_de_rango,MLA,debit card,43496.65,551,Rej. by Bank Other
Mayo,MLA,debit card,16701.38,128,Rej. by Risk Bank - Rej. by PF
Mayo,MLA,account_money,43574.84,667,Rej. by PF
Mayo,MLA,ticket,490.74,50,Rej. by User Error
fuera_de_rango,MLA,prepaid_card,54514.43,352,Rej. by Risk Bank - App. by PF
Mayo,MLA,prepaid_card,454212.51,4263,Rej. by User Error
Abril,MLA,debit card,4581884.14,55469,Rej. by User Error
fuera_de_rango,MLA,credit card,564560.68,4182,Rej. by Bank Other
Mayo,MLA,bank transfer,21344342.59,365108,Approved
fuera_de_rango,MLA,digital_currency,38090.46,987,Cancelled
Mayo,MLA,account_money,239786416.38,4840502,Approved
Mayo,MLA,credit card,12137140.73,84059,Rej. by Bank Other
fuera_de_rango,MLA,credit card,2356346.04,14742,Rej. by Risk Bank - App. by PF
Mayo,MLA,debit card,181716.16,2160,Cancelled
Mayo,MLA,credit card,22018445,152566,Rej. by User Error
Abril,MLA,credit card,17326086.83,122990,Rej. by User Error
fuera_de_rango,MLA,bank transfer,141054.26,276,Rej. by PF
Abril,MLA,debit card,3082973.46,26937,Rej. by Risk Bank - App. by PF
fuera_de_rango,MLA,ticket,917161.04,10128,Approved
Mayo,MLA,credit card,38779851.95,245534,Rej. by Risk Bank - App. by PF
fuera_de_rango,MLA,bank transfer,166262.12,2389,Insufficient Amount
fuera_de_rango,MLA,digital_currency,3280.92,83,Rej. by PF
fuera_de_rango,MLA,credit card,434839.6,3301,Rej. Blacklist
fuera_de_rango,MLA,debit card,6800347.39,120729,Approved
fuera_de_rango,MLA,account_money,185.02,16,Rej. by User Error
Mayo,MLA,ticket,10129348.52,116090,Cancelled
Mayo,MLA,bank transfer,673097.8,1588,Rej. by PF
Mayo,MLA,bank transfer,306.83,25,Rej. by User Error
Abril,MLA,credit card,28746.33,189,Rej. by Risk Bank - Rej. by PF
Mayo,MLA,digital_currency,670740.51,19804,Cancelled
Mayo,MLA,prepaid_card,60.66,3,Rej. by Risk Bank - Rej. by PF
Abril,MLA,digital_currency,586677.37,16018,Cancelled
fuera_de_rango,MLA,debit card,1113.94,5,Rej. by Risk Bank - Rej. by PF
Mayo,MLA,ticket,16370.82,243,Rej. by PF
fuera_de_rango,MLA,prepaid_card,57944.38,140,Rej. by PF
Abril,MLA,credit card,82883203.04,415384,Insufficient Amount
fuera_de_rango,MLA,debit card,5377.17,68,Cancelled
fuera_de_rango,MLA,ticket,594557.36,6725,Cancelled
fuera_de_rango,MLA,credit card,1280476.55,4913,Rej. by PF
fuera_de_rango,MLA,debit card,245529.51,1433,Rej. by PF
Mayo,MLA,debit card,4077611.94,49904,Rej. by User Error
Mayo,MLA,prepaid_card,42760.53,504,Rej. Blacklist
Abril,MLA,digital_currency,233.05,23,Rej. by User Error
fuera_de_rango,MLA,account_money,104888.35,2155,Cancelled
Abril,MLA,credit card,8185667.01,64175,Rej. by Bank Other
Abril,MLA,ticket,226.19,18,Rej. by User Error
Mayo,MLA,debit card,101567387.92,1807511,Approved
Abril,MLA,account_money,210448869.71,4145316,Approved
Abril,MLA,prepaid_card,37231.68,583,Rej. Blacklist
Mayo,MLA,prepaid_card,133133.2,1492,Cancelled
fuera_de_rango,MLA,prepaid_card,1738.53,32,Rej. Blacklist
Abril,MLA,prepaid_card,273.22,5,Rej. by Risk Bank - Rej. by PF
fuera_de_rango,MLA,debit card,791020.26,7962,Insufficient Amount
fuera_de_rango,MLA,bank transfer,66369.16,1018,Rej. by Bank Other
Abril,MLA,ticket,13532.15,207,Rej. by PF
Abril,MLA,bank transfer,141858.05,769,Rej. by PF
Abril,MLA,credit card,19556469.49,81142,Rej. by PF
Mayo,MLA,credit card,782333632.23,8023116,Approved
Abril,MLA,prepaid_card,942629.84,5850,Rej. by Risk Bank - App. by PF
fuera_de_rango,MLA,prepaid_card,32616.95,279,Rej. by User Error
Mayo,MLA,credit card,7298377.41,43314,Cancelled
Abril,MLA,credit card,5134031.89,31509,Cancelled
Mayo,MLA,prepaid_card,14358020.85,265789,Approved
Abril,MLA,account_money,1467252.95,31568,Cancelled
Mayo,MLA,digital_currency,38740763.13,828689,Approved
Abril,MLA,debit card,97054584.73,1707471,Approved
Mayo,MLA,debit card,763709.06,10144,Rej. by Bank Other
Abril,MLA,digital_currency,35248453.64,754841,Approved
fuera_de_rango,MLA,debit card,16625.45,262,Rej. Blacklist
Abril,MLA,bank transfer,1085633.08,12190,Rej. by Bank Other
fuera_de_rango,MLB,account_money,62305.9,3743,Cancelled
Abril,MLB,debit card,39245.02,782,Rej. by User Error
fuera_de_rango,MLB,credit card,810837.76,11380,Cancelled
Mayo,MLB,tcmp,274250798.49,5654822,Approved
fuera_de_rango,MLB,debit card,69.37,1,Rej. by Risk Bank - Rej. by PF
Abril,MLB,debit card,44807.23,1859,Approved
Mayo,MLB,digital_currency,1363720.82,44660,Cancelled
Mayo,MLB,account_money,175869.4,2916,Rej. by User Error
fuera_de_rango,MLB,digital_currency,19433.97,575,Rej. by PF
fuera_de_rango,MLB,debit card,16771.54,255,Rej. by Bank Other
Abril,MLB,ticket,13140.7,210,Rej. by Bank Other
Abril,MLB,digital_currency,78271197.9,2773370,Approved
Abril,MLB,account_money,88141433.08,3663296,Approved
fuera_de_rango,MLB,debit card,2290.86,105,Approved
Mayo,MLB,credit card,2278431.78,9271,Rej. by Risk Bank - Rej. by PF
Mayo,MLB,tcmp,10932.65,46,Rej. by Risk Bank - Rej. by PF
Mayo,MLB,ticket,45018212.36,626236,Approved
Mayo,MLB,credit card,38030560.36,218189,Rej. by PF
fuera_de_rango,MLB,tcmp,342033.78,3638,Insufficient Amount
Abril,MLB,digital_currency,1189130.74,42805,Cancelled
Mayo,MLB,bank transfer,77907910.63,1179352,Cancelled
Mayo,MLB,bank transfer,3285057.77,13909,Rej. by PF
Mayo,MLB,bank transfer,656498446.15,17343872,Approved
Abril,MLB,debit card,74499.84,735,Insufficient Amount
fuera_de_rango,MLB,credit card,604723.75,8455,Rej. Blacklist
fuera_de_rango,MLB,tcmp,90.91,1,Rej. by Risk Bank - Rej. by PF
Abril,MLB,tcmp,1545443.9,36179,Rej. by Bank Other
fuera_de_rango,MLB,debit card,344.45,5,Rej. by Risk Bank - App. by PF
Abril,MLB,debit card,10729.2,155,Rej. by Risk Bank - App. by PF
Mayo,MLB,credit card,60376674.9,743153,Rej. by User Error
Abril,MLB,ticket,2352043.73,17547,Rej. by PF
fuera_de_rango,MLB,credit card,2433386.34,12923,Rej. by PF
Mayo,MLB,tcmp,5949792.48,64207,Insufficient Amount
fuera_de_rango,MLB,bank transfer,4316786.39,65089,Cancelled
fuera_de_rango,MLB,ticket,755.29,11,Rej. by Bank Other
fuera_de_rango,MLB,account_money,4331.83,88,Rej. by User Error
fuera_de_rango,MLB,debit card,204.01,3,Cancelled
Mayo,MLB,tcmp,2395928.39,35152,Cancelled
Mayo,MLB,tcmp,1813875.48,41308,Rej. by Bank Other
Abril,MLB,tcmp,1187864.74,16493,Rej. Blacklist
fuera_de_rango,MLB,credit card,3461115.16,42362,Rej. by User Error
fuera_de_rango,MLB,tcmp,76751.64,1640,Rej. by Bank Other
fuera_de_rango,MLB,credit card,90043680.51,1759335,Approved
Mayo,MLB,debit card,35791.08,1360,Approved
Mayo,MLB,tcmp,1280670.85,17107,Rej. Blacklist
fuera_de_rango,MLB,tcmp,14886387.94,312331,Approved
fuera_de_rango,MLB,ticket,2015037.43,20214,Cancelled
fuera_de_rango,MLB,ticket,789161.81,8575,Pending
fuera_de_rango,MLB,credit card,950212.44,11283,Rej. by Bank Other
Abril,MLB,tcmp,1034435.11,18725,Rej. by User Error
Mayo,MLB,debit card,238314.87,3916,Rej. by Bank Other
Mayo,MLB,tcmp,755845.51,9993,Rej. by Risk Bank - App. by PF
fuera_de_rango,MLB,digital_currency,75982.35,2641,Cancelled
Mayo,MLB,credit card,45907061.01,567626,Rej. by Risk Bank - App. by PF
Abril,MLB,ticket,42514282.4,601877,Approved
Abril,MLB,debit card,6764.18,93,Rej. Blacklist
Mayo,MLB,ticket,7274.92,92,Rej. by Bank Other
Mayo,MLB,account_money,454762.75,6857,Rej. by PF
fuera_de_rango,MLB,tcmp,118610.47,1915,Cancelled
fuera_de_rango,MLB,bank transfer,201241.73,1164,Rej. by PF
Mayo,MLB,credit card,14378075.91,193940,Cancelled
fuera_de_rango,MLB,tcmp,56957.45,1196,Rej. by Risk Bank - App. by PF
Abril,MLB,credit card,43221380.29,560371,Rej. by Risk Bank - App. by PF
Abril,MLB,tcmp,437365.03,4910,Rej. by Risk Bank - App. by PF
Abril,MLB,debit card,202447.83,1350,Rej. by PF
Abril,MLB,bank transfer,594267890.92,16009907,Approved
Mayo,MLB,account_money,873600.96,62713,Cancelled
fuera_de_rango,MLB,digital_currency,5301959.58,179043,Approved
Mayo,MLB,ticket,32056387.06,321859,Cancelled
fuera_de_rango,MLB,debit card,3168.63,60,Insufficient Amount
Abril,MLB,debit card,3175.52,55,Cancelled
Abril,MLB,tcmp,6041561.1,66553,Insufficient Amount
fuera_de_rango,MLB,credit card,2501916.36,30498,Rej. by Risk Bank - App. by PF
fuera_de_rango,MLB,tcmp,53993.76,475,Rej. by PF
Abril,MLB,account_money,915166.15,69316,Cancelled
Mayo,MLB,debit card,8216.46,99,Rej. Blacklist
fuera_de_rango,MLB,ticket,2696660.91,38912,Approved
fuera_de_rango,MLB,credit card,113336,406,Rej. by Risk Bank - Rej. by PF
Abril,MLB,credit card,118643579.29,1271421,Insufficient Amount
Abril,MLB,debit card,210495.08,3488,Rej. by Bank Other
Abril,MLB,credit card,1371860228.78,26763562,Approved
Abril,MLB,bank transfer,94888241.29,1452067,Cancelled
Abril,MLB,ticket,52.88,2,Pending
Mayo,MLB,account_money,96137472.94,3901294,Approved
fuera_de_rango,MLB,account_money,5900428.11,239153,Approved
Mayo,MLB,ticket,9679704.65,103797,Pending
Mayo,MLB,digital_currency,372759.88,9934,Rej. by PF
Abril,MLB,credit card,2256070.52,12461,Rej. by Risk Bank - Rej. by PF
Mayo,MLB,credit card,10188669.84,144386,Rej. Blacklist
fuera_de_rango,MLB,bank transfer,1921067.91,30061,Pending
Abril,MLB,credit card,61865559.84,745922,Rej. by User Error
Mayo,MLB,bank transfer,23480016.46,372322,Pending
Abril,MLB,tcmp,1197056.2,15229,Rej. by PF
Mayo,MLB,credit card,127742319.85,1353398,Insufficient Amount
Abril,MLB,account_money,356235.05,7596,Rej. by PF
fuera_de_rango,MLB,debit card,3538.06,61,Rej. by User Error
fuera_de_rango,MLB,tcmp,51288.57,943,Rej. by User Error
Abril,MLB,account_money,91274.4,1557,Rej. by User Error
fuera_de_rango,MLB,debit card,171.59,4,Rej. Blacklist
Abril,MLB,credit card,13938776.1,175937,Rej. by Bank Other
Mayo,MLB,debit card,3103.76,59,Cancelled
Mayo,MLB,debit card,48391.91,775,Rej. by User Error
Abril,MLB,credit card,8984610.62,130301,Rej. Blacklist
Abril,MLB,credit card,50440706.39,391228,Rej. by PF
fuera_de_rango,MLB,ticket,143632.43,974,Rej. by PF
Mayo,MLB,debit card,149831.99,794,Rej. by PF
Abril,MLB,ticket,40189880.15,415347,Cancelled
Abril,MLB,debit card,346.35,5,Rej. by Risk Bank - Rej. by PF
Abril,MLB,digital_currency,341255.83,11117,Rej. by PF
Mayo,MLB,tcmp,974805.78,8125,Rej. by PF
Abril,MLB,tcmp,3519.04,19,Rej. by Risk Bank - Rej. by PF
Mayo,MLB,debit card,24754.1,165,Rej. by Risk Bank - App. by PF
Abril,MLB,credit card,13216288.95,185273,Cancelled
fuera_de_rango,MLB,bank transfer,39663433.18,1084383,Approved
Mayo,MLB,tcmp,1033315.75,16212,Rej. by User Error
Mayo,MLB,credit card,1507203695.25,28611923,Approved
Abril,MLB,tcmp,238964403.95,4951945,Approved
fuera_de_rango,MLB,credit card,7967528.76,86377,Insufficient Amount
Mayo,MLB,digital_currency,97750646.94,3156246,Approved
Abril,MLB,tcmp,2195232.42,32629,Cancelled
Mayo,MLB,ticket,3181806.7,21955,Rej. by PF
fuera_de_rango,MLB,account_money,20247.6,434,Rej. by PF
fuera_de_rango,MLB,tcmp,76500.41,982,Rej. Blacklist
fuera_de_rango,MLB,debit card,4248.93,35,Rej. by PF
Abril,MLB,bank transfer,4793513.28,61376,Rej. by PF
Mayo,MLB,debit card,61011.3,574,Insufficient Amount
Mayo,MLB,credit card,15541991.35,194614,Rej. by Bank Other
